"tranchee_ouverte","tranchée ouverte","pose en fouille ouverte"
"fusee","fusée pneumatique","marteau pneumatique frappe à l'intérieur d'un cylindre creux et le fait avancer,"
"tunnelier","tunnelier (micro)","abattage du terrain est réalisé en tête, par un microtunnelier derrière lequel sont assemblé les tubes qui constituent le tunnel"
"forage_dirige","fonçage-forage dirigé","train de tubes creux est enfoncé dans le sol à l'aide d'un marteau pneumatique (ou de vérins)"
"pousse_tube","direct pipe (pousse-tube)","tube acier est poussé dans lequel une tarière assure l'excavation et une vis sans fin l'évacuation des délais"
"eclatement","éclatement","éclateur est soit tiré soit poussé et peut être précédé d'un outil de coupe adapté pour certains matériaux"
"extraction","tirage (extraction)","extraction par traction consiste à introduire un câble dans la conduite jusqu'à une tête de tirage sur laquelle est arrimée la nouvelle conduite"
"decoupe","tirage (découpe)","un outil de coupe est tiré par un câble dans l'ancien branchement et est suivi de la nouvelle canalisation"
"tubage_continu","tubage continu","introduction d'une nouvelle conduite sans joint dans l'ancienne qui sert de fourreau"
"tubage_court","tubage court","tubage réalisé à l'aide de tuyaux courts assemblés un à un pendant l'insertion"
"enroulement_helicoidal","enroulement hélicoïdal","tubage avec une bande profilée enroulée en spirale pour former un tuyau continu après installation."
"chemisage_continu","chemisage continu","tubage réalisé avec une chemise souple imprégnée d'une résine thermodurcissable produisant un tuyau après polymérisation de la résine."
"chemisage_partiel","chemisage partiel","tubage réalisé avec une chemise souple imprégnée d'une résine thermodurcissable produisant un tuyau après polymérisation de la résine."
"injection_resine","injection résine","colmatage d'une fuite au niveau d'une fissure, d'un assemblage ou d'un branchement par injection de résine ou de coulis, avec ou sans l'aide d'un manchon."
"injection_coulis","injection coulis","tubage obtenu par injection de coulis de ciment structurant dans l'espace annulaire d'un coffrage plastique interne définitivement ancré au coulis."
"reparation_directe","réparation directe","application manuelle par un humain d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"reparation_robot","réparation par robot (fraisage-talochage)","application manuelle ou mécanique (à l'aide d'un robot, par exemple) d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"revetement_projete","revêtement projeté","application manuelle ou mécanique (à l'aide d'un robot, par exemple) d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
