"coude","coude","piece de changement de direction"
"manchon","manchon","manchon entre 2 canalisation"
"raccord","raccord","piece de racoordement"
"te","té","piece de visite ou d'accès"
"cone","cône","piece permettant le changement de diametre (aggrandissement ou réduction)"
"bouchon","bouchon","élèment de fermeture de canalisation"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l élément décrit"
"non_valide","Non validé(e)","information existe mais n est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
