"0","Inconnu","Localisation inconnue"
"A1","A1","Pt réglementaire : Déversoir du système de collecte"
"A2","A2","Pt réglementaire :  déversoir en tête de station"
"A3","A3","Pt réglementaire :  Entrée station (effluent «eau»)"
"A4","A4","Pt réglementaire : Sortie station (effluent «eau»)"
"A5","A5","Pt réglementaire :  by-pass"
"A6","A6","Pt réglementaire : Boue produite"
"A7","A7","Pt réglementaire : Apports extérieurs file(s) «eau»"
"A8","A8","Sortie de station pour utilisation des eaux usées traitées"
"R1","R1","Pt logique : Déversoir du système de collecte"
"R2","R2","Point caractéristique du système de collecte"
"R3","R3","Effluent non domestique entrant dans le système de collecte"
"S1","S1","Pt logique : Entrée station (effluent «eau»)"
"S2","S2","Pt logique : Sortie station (effluent «eau»)"
"S3","S3","Pt logique : By-pass"
"S4","S4","Pt logique : Boue extraite de la file «eau» avant traitement"
"S5","S5","Pt logique : Apport extérieur file «boue»"
"S6","S6","Pt logique : Boue évacuée après traitement"
"S7","S7","Pt logique : Apport extérieur en huiles/graisses"
"S8","S8","Pt logique : Huiles/graisses produites avant traitement"
"S9","S9","Pt logique : Huiles/graisses évacuées sans traitement"
"S10","S10","Pt logique :Sable évacué"
"S11","S11","Pt logique :Refus de dégrillage évacué"
"S12","S12","Pt logique : Apport extérieur en matières de vidange"
"S13","S13","Pt logique : Apport extérieur en produits de curage"
"S14","S14","Pt logique : Les réactifs utilisés (file «eau»)"
"S15","S15","Pt logique : Les réactifs utilisés (file 'boue')"
"S16","S16","Pt logique : Déversoir en tête de station"
"S17","S17","Pt logique : Boue produite et évacuée sans traitement"
"S18","S18","Apport extérieur d'eaux usées"
"S19","S19","Sortie de station pour utilisation des eaux usées traitées"
"1","En entrée","Pt physique : En entrée"
"2","Sur","Pt physique : Sur"
"3","En sortie","Pt physique : En sortie"
"4","By pass","Pt physique : By pass"
"5","Au Champ","Pt physique : au champ"
"M1","M1","Point de suivi amont d'un cours d'eau récepteur de rejets d'eaux usées"
"M2","M2","Point de suivi aval d'un milieu aquatique récepteur de rejets d'eaux usées"
"M3","M3","Autre type de point de mesure du milieu aquatique"
"I1","I1","Eaux de procédés, sortie site d'activités sans traitement"
"I2","I2","Eaux de procédés, entrée système de traitement du site"
"I3","I3","Eaux de procédés, sortie site d'activités après traitement total"
"I4","I4","Eaux de procédés, sortie système traitement du site d'activités après traitement partiel (by-pass)"
"I5","I5","Réactifs utilisés, file «eau»"
"I6","I6","Eaux de procédés, sortie activité polluante"
"I7","I7","Eaux de refroidissement, entrée système de traitement du site"
"I8","I8","Eaux de refroidissement, sortie site d'activités après traitement total"
"I9","I9","Eaux de refroidissement, sortie site d'activités sans traitement"
"I10","I10","Eaux de refroidissement, sortie activité polluante"
"I11","I11","Eaux-vannes, entrée système de traitement du site"
"I12","I12","Eaux-vannes, sortie site d'activités après traitement total"
"I13","I13","Eaux-vannes, sortie site d'activités sans traitement"
"I17","I17","Eaux pluviales, entrée site d'activités"
"I18","I18","Eaux pluviales, entrée système de traitement du site"
"I19","I19","Eaux pluviales, sortie site d'activités après traitement total"
"I20","I20","Eaux pluviales, sortie site d'activités sans traitement"
"I21","I21","Déchets industriels, entrée système de traitement du site"
"I22","I22","Déchets industriels, sortie site d'activités après traitement total"
"I23","I23","Déchets  industriels, sortie site d'activités sans traitement"
"I24","I24","Déchets  industriels, sortie activité polluante"
"I25","I25","Eaux de réseau de distribution, entrée site d'activités"
"I26","I26","Boue d'épuration, entrée système de traitement du site"
"I27","I27","Boue d'épuration, sortie site d'activités après traitement total"
"I28","I28","Boue d'épuration, sortie site d'activités sans traitement"
"I30","I30","Boue d'épuration, réactifs utilisés"
"I31","I31","Eaux naturelles d'alimentation, entrée site d'activités"
"I32","I32","Boue d'épuration, apport extérieur"
"I33","I33","Eaux de procédés, apport extérieur"
"I34","I34","Eaux de refroidissement, apport extérieur"
"I35","I35","Eaux-vannes, apport extérieur"
"I36","I36","Eaux pluviales, apport extérieur"
"I37","I37","Déchets industriels, apport extérieur"
