"sectorisation","sectorisation","vanne permettant l'isolation d'un secteur ou d'un ilot"
"coupure","vanne de coupure","vanne permettant d'isoler une partie de réseau"
"purge","purge","vanne permettant la purge ou vidange du réseau"
"securisation","sécurisation","assure la mise en sécurité d'un ouvrage ou équipement"
"sans_fonction","sans fonction","vanne sans fonction particulière"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
