"mural","coffret mural","coffret mural"
"socle","coffret sur socle","coffret sur socle"
"citerneau","citerneau","citerneau"
"regard","regard visitable","regard visitable"
"abri","abri non gelif","abri non gelif"
"sans","sans enveloppe","sans enveloppe"
"support","support mural","support mural"
"incendie","défense incendie","défense incendie"
"lavoir","lavoir","lavoir"
"fontaine","fontaine","fontaine"
"borne_arrosage","borne arrosage","borne arrosage"
"borne_puisage","borne puisage","borne puisage"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
