"cours_eau","cours d'eau","cours d'eau : ruisseau, rivière, fleuve"
"nappe","nappe phréatique","nappe phréatique"
"retenue","retenue d'eau","retenue d'eau artificielle ou naturel"
"source","source","Eau sortant naturellement du sol."
"impluvium","implvium","zone de récupération des eaux de pluie"
"reut","REUT","ré-utilisation des eaux usées"
"marin","milieu marin","eaux prélévée dans les milieux salins"
"surface","eaux de surface","Eau qui s'écoule ou qui stagne à la surface de l'écorce terrestre (lithosphère)"
"souterraine","eaux souterraines","Toutes les eaux se trouvant sous la surface du sol en contact direct avec le sol ou le sous-sol."
"littorale","eaux littorales","Eau des océans et des mers, caractérisée par une salinité et une densité plus élevées que celles de l'eau douce."
"non_conv","eaux non conventionnelles","Sont appelées eaux non conventionnelles les eaux pluviales, les eaux provenant du dessalement d'eaux de mer ou saumâtres et la réutilisation d'eaux usées traitées"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
