"0","inconnu","localisation inconnue"
"a1","a1","pt réglementaire : déversoir du système de collecte"
"a2","a2","pt réglementaire :  déversoir en tête de station"
"a3","a3","pt réglementaire :  entrée station (effluent «eau»)"
"a4","a4","pt réglementaire : sortie station (effluent «eau»)"
"a5","a5","pt réglementaire :  by-pass"
"a6","a6","pt réglementaire : boue produite"
"a7","a7","pt réglementaire : apports extérieurs file(s) «eau»"
"a8","a8","sortie de station pour utilisation des eaux usées traitées"
"r1","r1","pt logique : déversoir du système de collecte"
"r2","r2","point caractéristique du système de collecte"
"r3","r3","effluent non domestique entrant dans le système de collecte"
"s1","s1","pt logique : entrée station (effluent «eau»)"
"s2","s2","pt logique : sortie station (effluent «eau»)"
"s3","s3","pt logique : by-pass"
"s4","s4","pt logique : boue extraite de la file «eau» avant traitement"
"s5","s5","pt logique : apport extérieur file «boue»"
"s6","s6","pt logique : boue évacuée après traitement"
"s7","s7","pt logique : apport extérieur en huiles/graisses"
"s8","s8","pt logique : huiles/graisses produites avant traitement"
"s9","s9","pt logique : huiles/graisses évacuées sans traitement"
"s10","s10","pt logique :sable évacué"
"s11","s11","pt logique :refus de dégrillage évacué"
"s12","s12","pt logique : apport extérieur en matières de vidange"
"s13","s13","pt logique : apport extérieur en produits de curage"
"s14","s14","pt logique : les réactifs utilisés (file «eau»)"
"s15","s15","pt logique : les réactifs utilisés (file 'boue')"
"s16","s16","pt logique : déversoir en tête de station"
"s17","s17","pt logique : boue produite et évacuée sans traitement"
"s18","s18","apport extérieur d'eaux usées"
"s19","s19","sortie de station pour utilisation des eaux usées traitées"
"1","en entrée","pt physique : en entrée"
"2","sur","pt physique : sur"
"3","en sortie","pt physique : en sortie"
"4","by pass","pt physique : by pass"
"5","au champ","pt physique : au champ"
"m1","m1","point de suivi amont d'un cours d'eau récepteur de rejets d'eaux usées"
"m2","m2","point de suivi aval d'un milieu aquatique récepteur de rejets d'eaux usées"
"m3","m3","autre type de point de mesure du milieu aquatique"
"i1","i1","eaux de procédés, sortie site d'activités sans traitement"
"i2","i2","eaux de procédés, entrée système de traitement du site"
"i3","i3","eaux de procédés, sortie site d'activités après traitement total"
"i4","i4","eaux de procédés, sortie système traitement du site d'activités après traitement partiel (by-pass)"
"i5","i5","réactifs utilisés, file «eau»"
"i6","i6","eaux de procédés, sortie activité polluante"
"i7","i7","eaux de refroidissement, entrée système de traitement du site"
"i8","i8","eaux de refroidissement, sortie site d'activités après traitement total"
"i9","i9","eaux de refroidissement, sortie site d'activités sans traitement"
"i10","i10","eaux de refroidissement, sortie activité polluante"
"i11","i11","eaux-vannes, entrée système de traitement du site"
"i12","i12","eaux-vannes, sortie site d'activités après traitement total"
"i13","i13","eaux-vannes, sortie site d'activités sans traitement"
"i17","i17","eaux pluviales, entrée site d'activités"
"i18","i18","eaux pluviales, entrée système de traitement du site"
"i19","i19","eaux pluviales, sortie site d'activités après traitement total"
"i20","i20","eaux pluviales, sortie site d'activités sans traitement"
"i21","i21","déchets industriels, entrée système de traitement du site"
"i22","i22","déchets industriels, sortie site d'activités après traitement total"
"i23","i23","déchets  industriels, sortie site d'activités sans traitement"
"i24","i24","déchets  industriels, sortie activité polluante"
"i25","i25","eaux de réseau de distribution, entrée site d'activités"
"i26","i26","boue d'épuration, entrée système de traitement du site"
"i27","i27","boue d'épuration, sortie site d'activités après traitement total"
"i28","i28","boue d'épuration, sortie site d'activités sans traitement"
"i30","i30","boue d'épuration, réactifs utilisés"
"i31","i31","eaux naturelles d'alimentation, entrée site d'activités"
"i32","i32","boue d'épuration, apport extérieur"
"i33","i33","eaux de procédés, apport extérieur"
"i34","i34","eaux de refroidissement, apport extérieur"
"i35","i35","eaux-vannes, apport extérieur"
"i36","i36","eaux pluviales, apport extérieur"
"i37","i37","déchets industriels, apport extérieur"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
