"regulation","régulation","permet de réguler le débit des écoulements"
"anti_crue","anti-crue","permet de la gestion des crues dans le réseau"
"anti_retour","anti-retour","permet d'éviter le retour des eaux en arrière"
"deversoir_orage","deversoir d'orage","sur unitaire, permet d'évacuer le trop-plein de pluvial par surverse"
"reprise_temps_secs","reprise temps secs","sur pluvial, permet de diriger les écoulements de temps secs vers le réseaux d'eaux usées"
"securite","mise en sécurité","permet de la mise en sécurité du personnel"
"deviation","déviation","permet de diriger les eaux vers un autre réseau."
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
