"grille","grille","grille d'engouffrement"
"caniveau","caniveau","bordure permettant l'évacuation des eaux"
"gargouille","gargouille","prolongement de gouttière permettant l'évacuation hors des murs ou trottoirs des eaux"
"avaloir","avaloir","ouverture de drainage urbain"
"grille_avaloir","grille-avaloir","ouverture composé d'une longueur de grille permettant l'évacuation des eaux"
"tampon_avaloir","tampon avaloir","ouverture ronde sur regard permettant l'évacuation des eaux"
"grille_double","grille double","surface de grille doublée avant avaloir"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
