"hauteur","hauteur","mesure la hauteur d'eau"
"hauteur_vitesse","hauteur et vitesse","mesure la vitesse et la hauteur d'eau"
"vitesse","vitesse","mesure la vitesse d'écoulement"
"debit","débit","mesure du débit"
"turbidite","turbidité","mesure de la turbidité"
"temperature","température","mesure de la température"
"chimie","chimie","mesure un élément chimique ou biologique déterminé (à indiquer en commentaire)"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
