"circulaire","circulaire","forme circulaire"
"rectangulaire","rectangulaire","forme rectangulaire ou carré"
"ovoide","ovoïde","forme ovoïde"
"en_u","en U","radier demi-circulaire, dessus plat et pieds droits parallèles"
"en_arc","en arc","voûte demi-circulaire, radier plat et pieds droits parallèles"
"ovale","ovale","radier et voûte demi-circulaires (de même diamètre) et pieds droits parallèles"
"complexe","complexe","forme complexe à décrire"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
